codigo_estacao,latitude,longitude,n_dias,inmet_p95,inmet_p99,inmet_max,era5_p95,era5_p99,era5_max
A566,-16.8489,-42.0353,3045,12.5,15.5,22.7,10.87098,12.161204,15.3096
A567,-21.6808,-45.9444,2475,14.7,19.326,46.0,11.38621,14.070498,17.7842
A568,-19.71,-47.9619,2523,14.1,18.1,24.7,12.21475,13.772237,16.4853
A569,-19.4553,-44.1733,2817,12.6,16.984009,23.8,11.02066,12.508675,15.838
A570,-20.715,-44.8644,2299,14.1,18.802002,38.1,11.642896,13.355048,18.8208
A571,-17.2444,-46.8817,2136,13.5,16.8,27.5,10.733749,11.955416,16.9268
A601,-22.7578,-43.6847,8780,13.6,17.7,29.5,11.80944,13.787519,17.6223
A602,-23.0503,-43.5956,7219,16.5,20.3,32.2,12.63364,15.657805,19.9334
A603,-22.5897,-43.2822,7362,11.4,14.539014,27.7,11.525199,14.056872,18.6953
A604,-21.5875,-41.9583,5818,10.9,14.683008,20.4,10.768659,12.275852,15.3339
A605,-22.9064,-43.1334,1405,13.0,16.391993,21.3,12.47178,14.706014,18.5194
A606,-22.9753,-42.0214,6682,19.1,22.1,33.9,16.111683,17.870792,23.7881
A607,-21.7147,-41.3439,6060,14.8,17.741016,36.3,13.925335,15.510658,19.7178
A608,-22.3761,-41.8119,6742,14.1,15.858984,32.9,13.5674,15.435421,20.3419
A609,-22.4514,-44.445,6715,14.7,20.385986,43.0,10.043659,12.817343,19.4408
A610,-22.4647,-43.2914,5359,21.3,25.9,43.0,11.371911,13.668787,18.6953
A611,-22.3581,-43.6956,6635,11.5,14.9,27.9,12.173088,14.111864,18.6375
A612,-20.2708,-40.3058,6744,12.1,13.756983,23.6,12.913396,14.9227495,19.1746
A613,-19.9883,-40.5794,6520,12.5,15.281006,21.9,12.493224,14.473462,18.2293
A614,-19.3569,-40.0686,6420,13.6,16.362011,39.5,12.63336,14.198872,17.7542
A615,-20.6364,-40.7419,6684,13.0,15.4,30.7,12.337655,14.000897,18.0137
A616,-18.6761,-39.8642,6675,12.2,13.8,21.7,13.64454,15.686706,18.986
A617,-20.7506,-41.4889,6592,11.3,14.7,25.0,10.989445,12.917145,17.5653
A618,-22.4486,-42.9869,6615,10.5,13.1,20.7,11.24658,13.721323,18.3451
A619,-23.2236,-44.7269,6642,11.0,15.9,23.8,11.4192,14.238594,20.7861
A620,-22.0417,-41.0517,5948,16.5,18.4,23.3,14.974643,17.00548,20.8985
A621,-22.8614,-43.4114,6689,13.4,17.312012,32.6,12.4722,14.64941,18.4471
A622,-21.1008,-41.0394,6027,17.2,19.4,27.2,12.689999,14.327096,16.4404
A623,-18.6953,-40.3906,5313,11.8,14.375977,24.9,11.60354,13.293263,16.9651
A624,-22.3347,-42.6769,4908,13.3,16.5,24.7,12.44639,15.236826,21.0424
A625,-22.0983,-43.2083,3223,10.4,13.1,21.2,11.02477,13.196099,17.0285
A626,-22.6536,-44.0409,2188,12.5,16.739038,24.3,11.64555,13.647397,16.7284
A627,-22.8675,-43.1019,2588,11.8,13.9,19.2,10.853433,12.93748,17.4032
A628,-22.9756,-44.3033,2853,10.4,13.6,30.8,10.9565,13.436876,18.628
A629,-21.9386,-42.6008,2465,9.7,12.836011,23.5,10.43636,12.74808,17.1957
