cluster_id,n_stations,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
1,5,MLPRegressor,0.6202722162510995,0.622186810118741,2.4548222683587655,2.726064443588257
1,5,GradientBoostingRegressor,0.6059409026556037,0.6079277552472562,2.5007169975407084,1.4550578594207764
1,5,CatBoostRegressor,0.6031381734311799,0.6051391574306866,2.509594364251441,2.3029520511627197
1,5,HistGradientBoostingRegressor,0.6022811817574298,0.6042864867233587,2.5123025381236967,0.44287848472595215
1,5,LGBMRegressor,0.5987125786697257,0.6007358765923994,2.523548409540192,0.8577396869659424
1,5,NuSVR,0.583146752916543,0.5852485339942748,2.572026633045357,1.564497947692871
1,5,SVR,0.5821116366108634,0.5842186367624053,2.5752180391468937,2.296454429626465
1,5,XGBRegressor,0.5790964135747747,0.5812186165315406,2.584491927991062,0.2550532817840576
1,5,ExtraTreesRegressor,0.5786416943015016,0.5807661899604857,2.5858876170413234,1.4218738079071045
1,5,RandomForestRegressor,0.57664466916629,0.5787792338595692,2.59200827275282,3.3954811096191406
1,5,BaggingRegressor,0.5548406870108121,0.5570851877485727,2.6579181248473702,0.3437943458557129
1,5,LinearSVR,0.529870676282927,0.5322410762344416,2.7314454855755677,0.024164438247680664
1,5,HuberRegressor,0.5208446362647556,0.5232605456617401,2.7575414165004553,0.019741058349609375
1,5,KNeighborsRegressor,0.500967720014718,0.5034838491575009,2.8141561164073106,0.040801048278808594
1,5,SGDRegressor,0.4931412393495527,0.4956968297393869,2.836137913886219,0.013683557510375977
1,5,LassoLarsIC,0.49236321865022636,0.49492273183350255,2.8383137940909595,0.012364387512207031
1,5,LinearRegression,0.49236321865022636,0.49492273183350255,2.8383137940909595,0.01006937026977539
1,5,Lars,0.49236321865022636,0.49492273183350255,2.8383137940909595,0.013663530349731445
1,5,TransformedTargetRegressor,0.49236321865022636,0.49492273183350255,2.8383137940909595,0.013043642044067383
1,5,Ridge,0.4923218162290438,0.49488153816402336,2.838429536952293,0.016376256942749023
1,5,RidgeCV,0.4923218162290438,0.49488153816402336,2.838429536952293,0.01319742202758789
1,5,BayesianRidge,0.49224412626504777,0.4948042399141316,2.8386467110005196,0.012141942977905273
1,5,ElasticNetCV,0.4914330743713361,0.49399727735769905,2.8409129291439417,0.06763458251953125
1,5,PoissonRegressor,0.43593325579529363,0.4387772897996871,2.991914060961058,0.011018753051757812
1,5,OrthogonalMatchingPursuitCV,0.3867947286284589,0.3898865199126851,3.1195130497576877,0.014620065689086914
1,5,LassoCV,0.3034146302402637,0.3069268253819094,3.3248422248027176,0.06371688842773438
1,5,DecisionTreeRegressor,0.30294073779349484,0.3064553223088218,3.325972990535322,0.06096506118774414
1,5,LarsCV,0.29773570333384614,0.30127653172039814,3.3383676373581475,0.024918079376220703
1,5,LassoLarsCV,0.29773570333384614,0.30127653172039814,3.3383676373581475,0.018208026885986328
1,5,RANSACRegressor,0.29599304130687143,0.2995426562246519,3.342507134342428,0.08557438850402832
1,5,ExtraTreeRegressor,0.2852003143484888,0.2888043463769838,3.3680307145937083,0.021295785903930664
1,5,AdaBoostRegressor,0.27250680609860156,0.2761748390090287,3.397804085927463,0.48537659645080566
1,5,LassoLars,0.2269230777640806,0.23082094459888358,3.50263772926108,0.00899815559387207
1,5,Lasso,0.22692302302777434,0.23082089013855867,3.502637853260026,0.009389877319335938
1,5,ElasticNet,0.14487679821970456,0.1491883437748993,3.683818393687899,0.00982356071472168
1,5,OrthogonalMatchingPursuit,0.1402018911775338,0.14453700769260502,3.6938742753414138,0.009922266006469727
1,5,TweedieRegressor,0.11064516855809703,0.11512931056536713,3.7568287718832964,0.01081538200378418
1,5,PassiveAggressiveRegressor,-0.3919460909051684,-0.38492787532077255,4.699969880492789,0.01083517074584961
1,5,DummyRegressor,-0.4908274829870245,-0.48331070576187996,4.864044752410992,0.007882356643676758
1,5,QuantileRegressor,-0.5149242017676194,-0.5072859284813962,4.903196731306043,1.5356950759887695
1,5,GaussianProcessRegressor,-7.159560898325793,-7.118420255140958,11.379344905640348,501.3643534183502
1,5,KernelRidge,-9.41406861478629,-9.361560705804175,12.855651309961555,4.101752042770386
2,8,CatBoostRegressor,0.4577251351387198,0.4598656938158039,2.439046325935216,2.593873977661133
2,8,MLPRegressor,0.45693478615272054,0.4590784646284335,2.440823096385648,3.717458486557007
2,8,LGBMRegressor,0.45638514332886104,0.4585309914472998,2.44205797718742,0.31230688095092773
2,8,HistGradientBoostingRegressor,0.44709891028272464,0.4492814145842402,2.4628277291476777,0.4704756736755371
2,8,ExtraTreesRegressor,0.4238588783064129,0.426133119576256,2.514054850311985,2.108106851577759
2,8,GradientBoostingRegressor,0.4237272834043554,0.4260020441277592,2.5143419482990064,1.9835190773010254
2,8,XGBRegressor,0.41353631945060665,0.4158513076633016,2.5364766725518213,0.22352266311645508
2,8,RandomForestRegressor,0.4130070047496409,0.4153240823624713,2.5376210670231725,4.892763376235962
2,8,NuSVR,0.4015826200429893,0.4039447939112406,2.5621963661941867,3.0285446643829346
2,8,SVR,0.39358757069240735,0.39598130396598996,2.5792554617244274,3.8949391841888428
2,8,BaggingRegressor,0.36213773501364355,0.36465561237543176,2.645292904918725,0.49405622482299805
2,8,KNeighborsRegressor,0.3047771664298945,0.30752146708872385,2.76167345446211,0.06272172927856445
2,8,HuberRegressor,0.3035571852716338,0.3063063016455616,2.764095492867687,0.024189233779907227
2,8,LinearSVR,0.3018897083893649,0.30464540690888064,2.767402519439393,0.036574363708496094
2,8,RANSACRegressor,0.29877720022391163,0.3015451849598699,2.77356485764288,0.08165812492370605
2,8,LassoLarsIC,0.27094341526590926,0.27382127020564906,2.828075048637585,0.01330709457397461
2,8,SGDRegressor,0.27016504587676926,0.27304597332725566,2.8295843277953896,0.018439054489135742
2,8,OrthogonalMatchingPursuitCV,0.2701128531468828,0.27299398662130303,2.8296855021016096,0.01848626136779785
2,8,Lars,0.2695506560813802,0.2724340087547432,2.8307750778485214,0.01408696174621582
2,8,TransformedTargetRegressor,0.26955065608138007,0.2724340087547431,2.830775077848522,0.013878107070922852
2,8,LinearRegression,0.26955065608138007,0.2724340087547431,2.830775077848522,0.00972437858581543
2,8,Ridge,0.2695472885233119,0.2724306544896673,2.830781603139115,0.01345205307006836
2,8,BayesianRidge,0.26951757380658803,0.27240105706787787,2.8308391804584163,0.01184701919555664
