feature,importance,std,cluster_id
total_precipitation,0.2648691141433258,0.023339895548797115,1-2-3
wind_mag_max,0.1763009793004757,0.008293233727944918,1-2-3
surface_pressure,0.16328951349641238,0.011499016851314683,1-2-3
wind_mag_std,0.14011690626903575,0.008458859103649272,1-2-3
t2m_range,0.1227839540537732,0.012240045284291056,1-2-3
wind_mag,0.08435892496952627,0.006713599903926301,1-2-3
relative_humidity,0.06852283444576047,0.007966938217387734,1-2-3
wind_mag_min,0.06673083788512543,0.007847354800893623,1-2-3
10m_v_component_of_wind,0.04648048979509422,0.008966746183049277,1-2-3
gust_factor,0.04469598815036089,0.007880975974005947,1-2-3
10m_u_component_of_wind,0.04296299183732929,0.008774017963655841,1-2-3
lag1_wind_mag_max,0.026525777440256578,0.006727578894049017,1-2-3
day_cos,0.021588152190380253,0.009535684842531976,1-2-3
pressure_tendency,0.021315638931655313,0.005308699735510793,1-2-3
day_sin,0.018677464210949936,0.005620924024433232,1-2-3
2m_temperature,0.004072316567103118,0.005101955644738009,1-2-3
2m_dewpoint_temperature,1.1198992032279698e-05,0.008055539255899712,1-2-3
wind_mag_max,0.54795237131663,0.021932690919661775,4
2m_temperature,0.4783309781148805,0.026196708693076394,4
total_precipitation,0.3862503560611003,0.025578615232974413,4
surface_pressure,0.25239785967140554,0.013352115410131595,4
day_cos,0.14585565775516027,0.01348577297379248,4
10m_v_component_of_wind,0.12172208741052311,0.014528705131625469,4
2m_dewpoint_temperature,0.11966223632724761,0.011443961919667183,4
wind_mag,0.1191234540720638,0.015540820294864964,4
wind_mag_std,0.10040569902911009,0.01035389548042644,4
10m_u_component_of_wind,0.09701463416909291,0.01558003601286092,4
t2m_range,0.07501148458002245,0.012520164259089025,4
gust_factor,0.06913478066225015,0.011981360216577296,4
relative_humidity,0.06256827341095682,0.009813570738563251,4
lag1_wind_mag_max,0.061779543095348846,0.01255272176430384,4
wind_mag_min,0.051535606272033095,0.008343890153134728,4
day_sin,0.05073766898210084,0.01041814204622424,4
pressure_tendency,0.030479007841555588,0.01002223843890288,4
total_precipitation,0.5239206479711479,0.04138813298069277,5-6
surface_pressure,0.3730242954197743,0.04051943287579458,5-6
wind_mag_max,0.3523428477727308,0.03135880552789375,5-6
wind_mag,0.3037405307531473,0.040052567900600605,5-6
relative_humidity,0.2456151230653664,0.03744341466676018,5-6
2m_temperature,0.22411342228966033,0.03310239968078464,5-6
10m_u_component_of_wind,0.17023267782075222,0.03826126076129321,5-6
wind_mag_min,0.11903434966153568,0.028652854975527924,5-6
t2m_range,0.11312403960815608,0.02177397949942708,5-6
10m_v_component_of_wind,0.09474727257635873,0.01472009897061344,5-6
wind_mag_std,0.09088727608889832,0.014111195986470199,5-6
day_cos,0.08243273615101596,0.019895271847419856,5-6
2m_dewpoint_temperature,0.08226715961463599,0.02215917011046529,5-6
gust_factor,0.06420612900845314,0.019415097602162992,5-6
lag1_wind_mag_max,0.020690018672607707,0.029856866832073222,5-6
day_sin,0.011865583286649136,0.017030340332338318,5-6
pressure_tendency,0.007861439919736342,0.017855458675863092,5-6
