cluster_id,n_stations,n_train,n_val,MLP_R2,MLP_RMSE,MLP_Bias,MLP_Bias_P90,MLP_RMSE_P90,ERA5_R2,ERA5_RMSE,ERA5_Bias,ERA5_Bias_P90,ERA5_RMSE_P90,features_ranked
1-2-3,16,14993,4910,0.4307716691556991,2.826198422293032,0.3762963295803672,-3.17759722542573,4.795254615098658,-0.9083081876386547,5.174681841357034,-4.271379013514999,-9.365868526232859,9.913527580342185,total_precipitation|wind_mag_max|surface_pressure|wind_mag_std|t2m_range|wind_mag|relative_humidity|wind_mag_min|10m_v_component_of_wind|gust_factor|10m_u_component_of_wind|lag1_wind_mag_max|day_cos|pressure_tendency|day_sin|2m_temperature|2m_dewpoint_temperature
4,10,10123,3395,0.3541920856877714,2.7303449408892693,0.5421438995227945,-2.5180453823926237,4.84995024600834,-1.4912788435281086,5.362619783402776,-4.632492732580993,-9.919280013310352,10.443129320003774,wind_mag_max|2m_temperature|total_precipitation|surface_pressure|day_cos|10m_v_component_of_wind|2m_dewpoint_temperature|wind_mag|wind_mag_std|10m_u_component_of_wind|t2m_range|gust_factor|relative_humidity|lag1_wind_mag_max|wind_mag_min|day_sin|pressure_tendency
5-6,4,3791,1374,0.36262979684029584,2.690190414983307,-0.43682617742787616,-3.6538159474763057,5.488673275071937,-1.7058791482921238,5.542954845496696,-4.8705394080829425,-10.171206477806908,10.664222880525399,total_precipitation|surface_pressure|wind_mag_max|wind_mag|relative_humidity|2m_temperature|10m_u_component_of_wind|wind_mag_min|t2m_range|10m_v_component_of_wind|wind_mag_std|day_cos|2m_dewpoint_temperature|gust_factor|lag1_wind_mag_max|day_sin|pressure_tendency
