experiment,timestamp,cluster_merge,cluster_id,n_stations,MLP_R2,MLP_RMSE,MLP_Bias_P90,ERA5_Bias_P90
exp1,2026-06-08T16:14:18,,1,5,0.3989298423261979,3.096307463639004,-3.725717331909881,-9.825034212477604
exp1,2026-06-08T16:14:18,,2,8,0.1641148787429943,3.034187854392022,-2.5593496412492507,-9.542296250839678
exp1,2026-06-08T16:14:18,,3,3,0.4942115428811756,2.6359507998100664,0.0435980523357656,-7.047033083506062
exp1,2026-06-08T16:14:18,,4,10,0.3541920856877714,2.7303449408892693,-2.518045382392624,-9.919280013310352
exp1,2026-06-08T16:14:18,,5,3,0.0035224401602075,2.941561976178664,-3.415651890427766,-9.04140534346196
exp1,2026-06-08T16:14:18,,6,1,0.298473351443822,2.896364447726289,-5.084058089054459,-12.143596578409715
exp2,2026-06-08T15:36:25,"1-2-3,5-6",1-2-3,16,0.4307716691556991,2.826198422293032,-3.17759722542573,-9.36586852623286
exp2,2026-06-08T15:36:25,"1-2-3,5-6",4,10,0.3541920856877714,2.7303449408892693,-2.518045382392624,-9.919280013310352
exp2,2026-06-08T15:36:25,"1-2-3,5-6",5-6,4,0.3626297968402958,2.690190414983307,-3.6538159474763057,-10.171206477806908
