cluster_id,n_stations,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
1,3,GradientBoostingRegressor,0.5056157190666247,0.5098332153020753,2.8433241244354925,0.5060274600982666
1,3,OrthogonalMatchingPursuitCV,0.5035252744926054,0.5077606039045168,2.8493291106300425,0.007814884185791016
1,3,MLPRegressor,0.49916027294483956,0.5034328393367793,2.8618273382762975,0.7014062404632568
1,3,NuSVR,0.48879685952816154,0.49315783418621506,2.8912843106166024,0.18686223030090332
1,3,LassoCV,0.4884804903451009,0.49284416388718055,2.8921788393314776,0.02533864974975586
1,3,LassoLarsCV,0.48845106792583504,0.49281499246485627,2.8922620166816806,0.01120901107788086
1,3,RandomForestRegressor,0.47985778507903953,0.48429501724424195,2.9164537544583045,1.105025291442871
1,3,LinearRegression,0.47952556825054626,0.4839656344929586,2.917384980889374,0.004873991012573242
1,3,TransformedTargetRegressor,0.47952556825054626,0.4839656344929586,2.917384980889374,0.0072021484375
1,3,LassoLarsIC,0.47952556825054593,0.48396563449295826,2.9173849808893753,0.006358146667480469
1,3,Ridge,0.4794619583884189,0.4839025672742049,2.9175632497681416,0.005215644836425781
1,3,BayesianRidge,0.479195987695355,0.483638865525442,2.918308524041753,0.006842613220214844
1,3,RidgeCV,0.4789476807452415,0.4833926768336707,2.9190041311417647,0.007424116134643555
1,3,SVR,0.47873420768326735,0.4831810248689077,2.9196020220986747,0.2967855930328369
1,3,ElasticNetCV,0.4785951144726107,0.4830431182354036,2.9199915256285793,0.02643132209777832
1,3,SGDRegressor,0.47705535675618804,0.48151649589286505,2.9242998521937946,0.008597135543823242
1,3,LarsCV,0.4764359181648896,0.4809023416118242,2.9260312860124773,0.010427474975585938
1,3,HuberRegressor,0.47581284827603376,0.48028458701111965,2.9277718369499723,0.01107025146484375
1,3,CatBoostRegressor,0.4733642144380571,0.4778568419926139,2.9346021154905677,1.2630233764648438
1,3,LGBMRegressor,0.4654501219391525,0.47001026307900795,2.956569962706031,0.26778078079223633
1,3,HistGradientBoostingRegressor,0.4649421781724412,0.4695066524818706,2.9579743355798156,0.3764522075653076
1,3,LinearSVR,0.46468905344847455,0.46925568711573873,2.9586739309082883,0.009683847427368164
