cluster_id,n_stations,n_train,n_val,MLP_R2,MLP_RMSE,MLP_Bias,MLP_Bias_P90,MLP_RMSE_P90,ERA5_R2,ERA5_RMSE,ERA5_Bias,ERA5_Bias_P90,ERA5_RMSE_P90,features_ranked
1,5,4750,1786,0.3989298423261979,3.0963074636390036,0.017330813550166708,-3.725717331909881,5.298249097552895,-0.9634506204845947,5.596177592628018,-4.512280317754272,-9.825034212477604,10.2827447623782,surface_pressure|wind_mag_max|day_cos|relative_humidity|2m_temperature|wind_mag|total_precipitation|wind_mag_std|2m_dewpoint_temperature|gust_factor|t2m_range|10m_u_component_of_wind|day_sin|lag1_wind_mag_max|10m_v_component_of_wind|pressure_tendency|wind_mag_min
2,8,7690,2281,0.16411487874299435,3.034187854392022,0.4632851161210381,-2.5593496412492507,5.046182251836999,-1.4883260373659404,5.235073820694424,-4.480784235767055,-9.542296250839678,10.1473827055785,total_precipitation|wind_mag_max|wind_mag_std|wind_mag|2m_temperature|wind_mag_min|t2m_range|10m_u_component_of_wind|pressure_tendency|day_cos|10m_v_component_of_wind|2m_dewpoint_temperature|gust_factor|lag1_wind_mag_max|day_sin|relative_humidity|surface_pressure
3,3,2553,843,0.49421154288117564,2.6359507998100664,0.9003343938797583,0.043598052335765636,4.946301574150822,-0.12524635724890376,3.9316663070513895,-3.1943884544067203,-7.047033083506062,7.660582336207367,total_precipitation|t2m_range|wind_mag_max|2m_temperature|10m_u_component_of_wind|wind_mag_std|surface_pressure|wind_mag_min|gust_factor|day_sin|10m_v_component_of_wind|wind_mag|lag1_wind_mag_max|2m_dewpoint_temperature|pressure_tendency|day_cos|relative_humidity
4,10,10123,3395,0.3541920856877714,2.7303449408892693,0.5421438995227945,-2.5180453823926237,4.84995024600834,-1.4912788435281086,5.362619783402776,-4.632492732580993,-9.919280013310352,10.443129320003774,wind_mag_max|2m_temperature|total_precipitation|surface_pressure|day_cos|10m_v_component_of_wind|2m_dewpoint_temperature|wind_mag|wind_mag_std|10m_u_component_of_wind|t2m_range|gust_factor|relative_humidity|lag1_wind_mag_max|wind_mag_min|day_sin|pressure_tendency
5,3,2722,1009,0.0035224401602075295,2.9415619761786638,-0.6666557743280452,-3.415651890427766,5.7390919068029245,-1.7627164582425765,4.897928025804092,-4.296430349562904,-9.041405343461959,9.504645824675197,wind_mag_max|total_precipitation|10m_u_component_of_wind|relative_humidity|2m_dewpoint_temperature|surface_pressure|2m_temperature|wind_mag_min|wind_mag_std|wind_mag|day_cos|lag1_wind_mag_max|t2m_range|10m_v_component_of_wind|gust_factor|pressure_tendency|day_sin
6,1,1069,365,0.29847335144382203,2.8963644477262895,-0.6046040019744949,-5.084058089054459,6.864968439285675,-3.126198616040349,7.0243506971479865,-6.457597052046559,-12.143596578409717,12.736854394266652,wind_mag_max|10m_v_component_of_wind|total_precipitation|surface_pressure|wind_mag_min|wind_mag|2m_temperature|relative_humidity|day_cos|pressure_tendency|day_sin|wind_mag_std|t2m_range|lag1_wind_mag_max|10m_u_component_of_wind|2m_dewpoint_temperature|gust_factor
