feature,importance,std,cluster_id
surface_pressure,0.45274447412782387,0.02777346767753152,1
wind_mag_max,0.33941857732342035,0.02251379353834707,1
day_cos,0.15576115242985142,0.011115240070126294,1
relative_humidity,0.12615059340052595,0.013389798754061022,1
2m_temperature,0.10374145529538899,0.017433293688004996,1
wind_mag,0.10243968383267704,0.012635346723019714,1
total_precipitation,0.088032690919887,0.02651830413959795,1
wind_mag_std,0.08437050188733056,0.012758247365726843,1
2m_dewpoint_temperature,0.0649312555263924,0.008798627268728713,1
gust_factor,0.060239250036417134,0.011486468723058994,1
t2m_range,0.04826858529646461,0.013021118804011165,1
10m_u_component_of_wind,0.03712027319611679,0.008940670991103057,1
day_sin,0.033125567735909064,0.01379474065719619,1
lag1_wind_mag_max,0.029617838010510114,0.010103154230438484,1
10m_v_component_of_wind,0.028643681931149613,0.014530841332812136,1
pressure_tendency,0.026300267038582924,0.013881394074383104,1
wind_mag_min,0.013402561590437208,0.006190101942943994,1
total_precipitation,0.4715042150772622,0.0395035767944983,2
wind_mag_max,0.36300270360305276,0.019112968968427194,2
wind_mag_std,0.34316898476204494,0.03974461858381137,2
wind_mag,0.3020803067710816,0.029956269460952027,2
2m_temperature,0.21036581010218053,0.018392091025512137,2
wind_mag_min,0.20665682570996743,0.018624289930873637,2
t2m_range,0.13780131968959855,0.023769942510468652,2
10m_u_component_of_wind,0.10974575569701961,0.022041482800666253,2
pressure_tendency,0.09005452156214822,0.02698300098869374,2
day_cos,0.08642302977060899,0.025374765482427702,2
10m_v_component_of_wind,0.07289012223592937,0.019524070929999703,2
2m_dewpoint_temperature,0.0506301053252906,0.01374481681386892,2
gust_factor,0.04589931644406923,0.01681984423675256,2
lag1_wind_mag_max,0.04048867280056158,0.02105001499614008,2
day_sin,0.0311250609663142,0.015465613213493835,2
relative_humidity,0.027539135948258762,0.012453753878146914,2
surface_pressure,0.010607377475660984,0.012567333921723612,2
total_precipitation,0.7445749354633425,0.08877339870653805,3
t2m_range,0.2747927008821731,0.03454458038835789,3
wind_mag_max,0.14986336851304127,0.019111294789317064,3
2m_temperature,0.1497686818096796,0.024245851346513143,3
10m_u_component_of_wind,0.13149036851751833,0.026683993913800434,3
wind_mag_std,0.12907164182305833,0.023885629303278748,3
surface_pressure,0.08441495541648394,0.011910716481257091,3
wind_mag_min,0.07430601224331011,0.01743055133732142,3
