cluster_id,n_stations,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,R2_deploy_mean,R2_deploy_std,R2_deploy_min,season
1,4,CatBoostRegressor,0.5166582879043526,0.5358840224399087,2.2154394388411265,5.39522385597229,0.4949,0.1337,0.2366,
1,4,ExtraTreesRegressor,0.5145370136056927,0.5338471254162129,2.220295640566865,38.778233766555786,0.4908,0.1522,0.2234,
1,4,HistGradientBoostingRegressor,0.5060276082237806,0.5256761960334417,2.2396702592894178,1.601609468460083,0.4859,0.1373,0.1751,
1,4,LGBMRegressor,0.5038911275841627,0.5236246975267326,2.244508433923058,1.7366573810577393,0.4825,0.1383,0.2063,
1,4,GradientBoostingRegressor,0.5017181452714821,0.5215381492627769,2.249418594153767,53.16101336479187,0.4816,0.1131,0.3209,
1,4,HuberRegressor,0.4974879319209031,0.5174761998068127,2.258946745754221,0.7930071353912354,,,,
1,4,RandomForestRegressor,0.4962287617655363,0.5162671152752114,2.261775154160485,129.93780708312988,,,,
1,4,LinearSVR,0.4959044449925154,0.5159556987506637,2.2625030774158867,3.02986478805542,,,,
1,4,MLPRegressor,0.493490419908524,0.5136376955995318,2.267913972145869,13.463541269302368,,,,
1,4,ElasticNetCV,0.4879250195006448,0.5082936684109471,2.2803395684158065,0.5749855041503906,,,,
1,4,LassoLarsIC,0.487629518736875,0.5080099216901186,2.280997426078333,0.1386339664459228,,,,
1,4,LassoLarsCV,0.4872780751422725,0.5076724573592233,2.2817795793699336,0.1597163677215576,,,,
1,4,LassoCV,0.4872404311718408,0.5076363107414186,2.281863341797779,0.5063991546630859,,,,
1,4,BayesianRidge,0.4849628777284189,0.5054493508404079,2.286925468165133,0.1215114593505859,,,,
1,4,RidgeCV,0.4847274877576053,0.5052233239040229,2.2874480109123385,0.0943427085876464,,,,
1,4,Ridge,0.4846562787078134,0.5051549473146904,2.2876060645327096,0.0462279319763183,,,,
1,4,LinearRegression,0.4846479026054284,0.5051469043859522,2.2876246551781017,0.1009421348571777,,,,
1,4,TransformedTargetRegressor,0.4846479026054284,0.5051469043859522,2.2876246551781017,0.0824942588806152,,,,
1,4,XGBRegressor,0.4830186140274918,0.5035824235183731,2.291237970711412,1.6838321685791016,,,,
1,4,SGDRegressor,0.4787595793855967,0.4994927991867279,2.300656536152603,0.1668756008148193,,,,
1,4,PoissonRegressor,0.4758703588045883,0.4967185022436241,2.307023961063919,0.0877876281738281,,,,
1,4,TweedieRegressor,0.4511092379903955,0.4729422969119219,2.3608897431441567,0.0515739917755126,,,,
1,4,GammaRegressor,0.449621343221894,0.4715135856757335,2.3640874451540315,0.0601050853729248,,,,
1,4,BaggingRegressor,0.4271019795975258,0.449889967848008,2.4119672434060124,13.22727394104004,,,,
1,4,KNeighborsRegressor,0.4066713193336937,0.4302719716700366,2.4545982238902653,0.3229107856750488,,,,
1,4,OrthogonalMatchingPursuitCV,0.4008554966735436,0.4246874831980431,2.466598904642034,0.1276981830596923,,,,
1,4,OrthogonalMatchingPursuit,0.4008554966735436,0.4246874831980431,2.466598904642034,0.0445730686187744,,,,
