cluster_id,n_stations,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,R2_deploy_mean,R2_deploy_std,R2_deploy_min,season
1,5,HuberRegressor,0.690310735315516,0.696556569225119,2.199988275960427,0.1982862949371338,0.638,0.1184,0.3881,
1,5,LarsCV,0.6900269272363607,0.6962784850063837,2.2009961111275094,0.0952725410461425,0.6381,0.117,0.396,
1,5,LinearSVR,0.6868238708157701,0.6931400280430151,2.2123387027096717,0.2508084774017334,0.6338,0.1184,0.3828,
1,5,ElasticNetCV,0.6858984588608852,0.6922332798586488,2.2156049390234167,0.2251105308532714,0.6332,0.1182,0.3864,
1,5,LassoCV,0.6850885843124729,0.6914397389145742,2.2184594409352045,0.2567856311798095,0.6321,0.1187,0.3832,
1,5,SGDRegressor,0.6836556493627116,0.6900357034932115,2.2235010175237933,0.064565896987915,,,,
1,5,BayesianRidge,0.6815878791745078,0.6880096362331731,2.2307560869087424,0.0382039546966552,,,,
1,5,Ridge,0.6805476974017486,0.6869904329163352,2.234396808645032,0.0254180431365966,,,,
1,5,RidgeCV,0.6803446101338708,0.6867914415261288,2.235106938830023,0.036015510559082,,,,
1,5,LassoLarsIC,0.6803178474612964,0.6867652186049341,2.2352005023754686,0.0376408100128173,,,,
1,5,LassoLarsCV,0.6803178474612964,0.6867652186049341,2.2352005023754686,0.0793523788452148,,,,
1,5,TransformedTargetRegressor,0.6803178474612943,0.686765218604932,2.2352005023754766,0.028203010559082,,,,
1,5,LinearRegression,0.6803178474612943,0.686765218604932,2.2352005023754766,0.0271515846252441,,,,
1,5,ExtraTreesRegressor,0.6801762833367323,0.6866265095551511,2.2356953519897376,6.288129091262817,,,,
1,5,CatBoostRegressor,0.6776113775182216,0.6841133329296188,2.2446423071136032,4.696650266647339,,,,
1,5,LGBMRegressor,0.6722879546742799,0.6788972732354709,2.263098689996974,0.8131215572357178,,,,
1,5,HistGradientBoostingRegressor,0.6673453532491813,0.6740543545281894,2.2801010162078845,0.6492798328399658,,,,
1,5,Lars,0.664997496523343,0.6717538495346369,2.288133277051479,0.028390884399414,,,,
1,5,PoissonRegressor,0.6619439129361947,0.6687618508265571,2.2985379105609938,0.0362858772277832,,,,
1,5,XGBRegressor,0.6573431802672739,0.6642539060433961,2.314125888381895,1.034001350402832,,,,
1,5,MLPRegressor,0.6494773547722894,0.6565467190457894,2.340536031015702,6.067774295806885,,,,
1,5,RandomForestRegressor,0.6492428630658287,0.6563169565838287,2.3413187829096915,15.674728393554688,,,,
1,5,GradientBoostingRegressor,0.6380534492783649,0.64535321164586,2.3783705143019414,6.53559160232544,,,,
1,5,OrthogonalMatchingPursuit,0.6266486970108601,0.6341784711887923,2.4155505293392894,0.0196900367736816,,,,
1,5,OrthogonalMatchingPursuitCV,0.6243494883888828,0.6319256331608717,2.422976953479231,0.0382406711578369,,,,
