feature,importance,std,cluster_id
total_precipitation,0.8669456379405546,0.05902411596367854,1
tp_sum_basin,0.5476372871257483,0.027498640242882212,1
latitude,0.39253376718111405,0.031256385038151105,1
longitude,0.3768261658220692,0.03757800624533689,1
2m_temperature,0.3283357621740237,0.04160392912862919,1
tp_roll3_basin,0.3039940155142919,0.017495672195831015,1
tp_max_basin,0.20281234158725664,0.031073534276130493,1
ws_max_basin,0.18328778014409747,0.02236112513304273,1
relative_humidity,0.13282375021312018,0.016759870873253927,1
2m_dewpoint_temperature,0.11790640489715762,0.010763737887169923,1
10m_u_component_of_wind,0.11763988773071635,0.0162723959026986,1
tp_lag1_basin,0.10659000389205715,0.016234571196577632,1
gust_factor,0.09131321986172498,0.025712323366160448,1
rh_p10_basin,0.07245315235541185,0.01876729926376094,1
t2m_mean_basin,0.07186378178016352,0.015460089286343253,1
td_dep_mean_basin,0.07060876673120815,0.012036701871890721,1
cos_dir_mean_basin,0.06901641530074727,0.014732476268741147,1
t2m_min_basin,0.06854152427806191,0.015517677524871225,1
rh_mean_basin,0.06388764405824547,0.009612032322581496,1
t2m_max_basin,0.05321554929574754,0.01637215492440112,1
tp_lag2_basin,0.052559551403264106,0.013906716596131304,1
lag1_wind_mag_max,0.05152768927561762,0.01436066237357145,1
ws_std_basin,0.04888026847702793,0.0114934960585067,1
pressure_tendency,0.04825108256953363,0.007920926244723353,1
rolling7d_wind_mag_max,0.04814888373474903,0.012862926809737555,1
day_cos,0.048122552804320776,0.014427721603491385,1
month_cos,0.04705716243368181,0.009712604426908873,1
wind_mag_max_anom,0.04394907821823975,0.012192279825718685,1
wind_mag,0.04367581486738141,0.010503506984653199,1
msl_range_basin,0.04227962803882423,0.013177390188906242,1
lag1_gust_obs,0.041739058199563785,0.01672393754778991,1
wind_dir_sin,0.041181175425484474,0.009453046097225887,1
sin_dir_mean_basin,0.039639505859409244,0.00918850196175977,1
d_msl_basin,0.037232761612380316,0.009746134630947199,1
10m_v_component_of_wind,0.03687621763299709,0.013819132802454627,1
wind_dir_cos,0.036809268482590966,0.008024882306583927,1
day_sin,0.036499733968587286,0.012742964836938122,1
month_sin,0.03634685958364835,0.006768560805060912,1
t2m_range_basin,0.03434767358174393,0.010257106835725243,1
t2m_range,0.03330498469461954,0.011865351818165686,1
lag1_pressure_tendency,0.03179118898963419,0.009493571056183085,1
msl_min_basin,0.025475927036865246,0.009606208151589692,1
era5_clim_wind,0.023988079587304898,0.00995884407755844,1
rolling7d_gust_obs,0.023494310024885327,0.009278647552044245,1
wind_mag_max,0.01606134934942771,0.009533930347168866,1
