cluster_id,n_stations,n_train,n_val,n_test,MLP_R2,MLP_RMSE,MLP_Bias,MLP_Bias_P90,MLP_RMSE_P90,ERA5_R2,ERA5_RMSE,ERA5_Bias,ERA5_Bias_P90,ERA5_RMSE_P90,MLP_test_R2,MLP_test_RMSE,MLP_test_Bias,MLP_test_Bias_P90,MLP_test_RMSE_P90,ERA5_test_R2,ERA5_test_RMSE,ERA5_test_Bias,ERA5_test_Bias_P90,ERA5_test_RMSE_P90,features_ranked
4,6,5454,2165,1753,0.17609390622323762,3.118356635006458,0.1944445254043135,-0.8583403296295299,5.901455608999779,-2.202273034359873,6.147748662521403,-5.492297624627658,-10.734354130215115,10.985183714716245,0.12526085796561837,2.975283466112315,0.49728351219173805,-1.76265194536933,4.447517493056659,-2.398262829841448,5.864318524463464,-5.263523893633775,-10.301480754755312,10.654031706239456,rolling3d_wind_mag_max|tp_roll3_basin|total_precipitation|wind_shear_sfc_18z|wind_mag_max|rolling7d_gust_obs|lag2_wind_mag_max|wind100m_mag_18z|2m_dewpoint_temperature|relative_humidity|q850_18z|lag1_wind_mag_max|wind_mag|tp_lag2_basin|wind10m_mag_18z|tp_lag1_basin|tp_max_basin|ws_p90_basin|rh_p10_basin|lapse_rate_850_500_18z|2m_temperature|gust_factor|cape_18z|thickness_1000_500_18z|t2m_min_basin|day_cos|longitude|wind_mag_std|t2m_max_basin|month_cos|latitude|wind_shear_850_300_18z|10m_v_component_of_wind|pressure_tendency|month_sin|wind_mag_max_anom|mslp_tendency_18z|bt55_rolling7d|msl_range_basin|lag3_wind_mag_max|t2m_range|10m_u_component_of_wind|lag1_pressure_tendency|lag3_gust_obs|wind_dir_sin|wind_shear_850_500_18z|bt55_flag|era5_clim_wind|wind_dir_cos|lag2_gust_obs|day_sin|lag1_gust_obs|rolling7d_wind_mag_max|msl_18z|surface_pressure|msl_min_basin|bt55_frac_month|lag7_wind_mag_max|bt55_rolling3d
5,15,12295,4830,4910,0.17113315464104784,2.784003533238813,-0.04629966942324699,-3.1990520960483884,5.422323852897695,-1.667142712940982,4.994022851226082,-4.281489088268754,-9.51156066222847,9.986681131355233,0.17757808547519172,2.5346418366233783,0.07009153438371135,-1.7486420913593632,4.323848719271465,-1.7267455090891306,4.615211044151777,-3.9854011813443444,-8.285580692471376,8.790844435753407,rolling3d_wind_mag_max|rolling7d_wind_mag_max|tp_roll3_basin|2m_dewpoint_temperature|wind_mag_max|2m_temperature|rh_p10_basin|rolling7d_gust_obs|thickness_1000_500_18z|total_precipitation|cape_18z|wind_mag|surface_pressure|wind_mag_max_anom|tp_max_basin|lapse_rate_850_500_18z|10m_u_component_of_wind|q850_18z|mslp_tendency_18z|tp_lag1_basin|wind10m_mag_18z|lag1_wind_mag_max|tp_lag2_basin|wind_shear_sfc_18z|10m_v_component_of_wind|bt55_flag|msl_min_basin|relative_humidity|t2m_max_basin|gust_factor|latitude|lag2_wind_mag_max|wind_dir_cos|wind_shear_850_300_18z|msl_18z|pressure_tendency|t2m_range|t2m_min_basin|lag3_wind_mag_max|wind_shear_850_500_18z|wind_dir_sin|month_cos|lag2_gust_obs|longitude|day_cos|msl_range_basin|bt55_rolling7d|lag1_pressure_tendency|era5_clim_wind|wind_mag_std|day_sin|lag7_wind_mag_max|bt55_frac_month|lag1_gust_obs|month_sin|lag3_gust_obs|ws_p90_basin|bt55_rolling3d|wind100m_mag_18z
6,15,9688,4122,4142,0.18169929612470492,3.1624805302873162,-0.1367936529637109,-4.320033968693246,6.471424252935543,-2.6640924514632216,6.6919796199453385,-5.953169826030268,-12.59245978069766,13.005469027266104,0.19025910503121624,2.9422372789736744,-0.001659499233035107,-3.78660295007119,5.507315901425092,-2.925744599230417,6.478368952652102,-5.780762533569382,-11.937861750560387,12.35739221041866,total_precipitation|rolling3d_wind_mag_max|tp_max_basin|2m_dewpoint_temperature|rolling7d_wind_mag_max|2m_temperature|bt55_flag|rolling7d_gust_obs|tp_roll3_basin|ws_p90_basin|wind_mag_max|month_sin|mslp_tendency_18z|cape_18z|wind_mag_max_anom|day_sin|bt55_frac_month|wind_shear_sfc_18z|tp_lag1_basin|lag2_wind_mag_max|msl_18z|wind_shear_850_300_18z|surface_pressure|lag1_wind_mag_max|lapse_rate_850_500_18z|wind_shear_850_500_18z|gust_factor|wind_mag_std|pressure_tendency|rh_p10_basin|wind10m_mag_18z|t2m_range|thickness_1000_500_18z|era5_clim_wind|month_cos|lag2_gust_obs|10m_u_component_of_wind|relative_humidity|tp_lag2_basin|t2m_max_basin|wind_mag|lag1_gust_obs|msl_range_basin|msl_min_basin|day_cos|bt55_rolling7d|bt55_rolling3d|t2m_min_basin|10m_v_component_of_wind|longitude|lag1_pressure_tendency|q850_18z|wind_dir_sin|latitude|wind100m_mag_18z|lag7_wind_mag_max|lag3_wind_mag_max|lag3_gust_obs|wind_dir_cos
7,2,1973,730,730,0.003614817755389299,2.931386199619413,0.2057064426591554,-2.6538999316261718,4.789455069517206,-2.1681020102759567,5.227078078441289,-4.570820384907396,-10.04636253984007,10.416801491470126,-0.07222128441809272,2.597065082866935,-0.27743525015999343,-3.304790221279741,4.773491166669478,-3.1140097478977795,5.087135193713141,-4.604992823143528,-8.999232425560823,9.376084394827217,bt55_flag|tp_roll3_basin|rolling3d_wind_mag_max|tp_max_basin|wind10m_mag_18z|tp_lag1_basin|rolling7d_gust_obs|surface_pressure|10m_v_component_of_wind|2m_dewpoint_temperature|rh_p10_basin|ws_p90_basin|lag1_wind_mag_max|day_cos|bt55_rolling3d|thickness_1000_500_18z|cape_18z|bt55_frac_month|wind_shear_sfc_18z|mslp_tendency_18z|2m_temperature|msl_18z|tp_lag2_basin|lag1_pressure_tendency|wind_shear_850_500_18z|total_precipitation|gust_factor|lapse_rate_850_500_18z|msl_min_basin|10m_u_component_of_wind|lag3_gust_obs|wind100m_mag_18z|msl_range_basin|month_sin|month_cos|bt55_rolling7d|wind_mag_max|lag2_wind_mag_max|relative_humidity|rolling7d_wind_mag_max|era5_clim_wind|wind_shear_850_300_18z|wind_dir_cos|wind_mag|lag1_gust_obs|t2m_range|pressure_tendency|lag2_gust_obs|wind_mag_std|longitude|t2m_max_basin|lag7_wind_mag_max|day_sin|latitude|q850_18z|t2m_min_basin|lag3_wind_mag_max|wind_dir_sin|wind_mag_max_anom
8,7,5811,1864,2181,0.037475923897945074,3.1123223143576597,0.030546905660599682,-3.943681413983699,5.810765592928206,-2.4420189802187653,5.885527538740391,-5.23458503191819,-10.88501244630569,11.337513750961472,0.19699298630036877,2.7327898099814267,-0.08266417597242277,-3.235275888702972,5.119022294770481,-2.7617512385837437,5.914820871078885,-5.3390551108386965,-10.411797456336874,10.866276833741672,tp_max_basin|rolling3d_wind_mag_max|wind_mag_max|total_precipitation|surface_pressure|2m_dewpoint_temperature|cape_18z|tp_roll3_basin|mslp_tendency_18z|2m_temperature|wind_shear_sfc_18z|rolling7d_gust_obs|msl_min_basin|lag2_wind_mag_max|rolling7d_wind_mag_max|month_sin|day_sin|wind10m_mag_18z|lag1_wind_mag_max|t2m_range|wind_mag_std|tp_lag1_basin|msl_18z|lag1_gust_obs|gust_factor|relative_humidity|bt55_flag|thickness_1000_500_18z|pressure_tendency|wind_mag_max_anom|month_cos|10m_u_component_of_wind|bt55_frac_month|lag1_pressure_tendency|latitude|wind_mag|wind_shear_850_300_18z|tp_lag2_basin|ws_p90_basin|rh_p10_basin|wind100m_mag_18z|lag7_wind_mag_max|bt55_rolling7d|10m_v_component_of_wind|wind_dir_sin|lag3_gust_obs|bt55_rolling3d|day_cos|lag3_wind_mag_max|q850_18z|lag2_gust_obs|t2m_min_basin|era5_clim_wind|wind_dir_cos|t2m_max_basin|longitude|lapse_rate_850_500_18z|msl_range_basin|wind_shear_850_500_18z
