epoch,train_loss,val_loss
1,2.719672883351644,2.7161829471588135
2,2.195215380350749,2.350294828414917
3,1.7271639839808146,1.5856504440307617
4,1.288961866378784,0.94140625
5,1.0718749357859294,0.6396245956420898
6,0.8489563096364339,0.5074836611747742
7,0.7253618938128154,0.4073778986930847
8,0.6455754830042522,0.3901132345199585
9,0.6417548492749532,0.29829567670822144
10,0.6206270947456359,0.2556231617927551
11,0.5476769943237305,0.24774891138076782
12,0.4848413379192352,0.26250913739204407
13,0.4837073363463084,0.23495349287986755
14,0.42645582334200544,0.21317464113235474
15,0.3923149362405141,0.23002414405345917
16,0.3746323231856028,0.24568119645118713
17,0.3257764225800832,0.250492662191391
18,0.3124062503973643,0.20418332517147064
19,0.32735185853640236,0.2088214010000229
20,0.27774169540405275,0.21856121718883514
21,0.30309789601961773,0.21080589294433594
22,0.2758710660934448,0.2140752524137497
23,0.2743416899442673,0.2182554453611374
24,0.26573186604181925,0.20292659103870392
25,0.24508627518018086,0.2065998762845993
26,0.25804333237806953,0.21129050850868225
27,0.25347340695063275,0.20968474447727203
28,0.23472020840644836,0.2163311094045639
29,0.2513601870536804,0.2039865255355835
30,0.23673978078365326,0.21263621747493744
31,0.23676799766222636,0.2075616866350174
32,0.22594198115666708,0.23935198783874512
33,0.2247579193909963,0.20532405376434326
34,0.22872364628314973,0.20066340267658234
35,0.2227816863854726,0.21271853148937225
36,0.23398800591627758,0.18836592137813568
37,0.22245987395445505,0.2101287692785263
38,0.21936179530620575,0.2016565501689911
39,0.21695308430989582,0.19908885657787323
40,0.21091664652029674,0.21680231392383575
41,0.21721654546260832,0.20387646555900574
42,0.20140999205907187,0.2088744193315506
43,0.21704208552837373,0.18155905604362488
44,0.211170787413915,0.21008741855621338
45,0.21436157683531443,0.2046463042497635
46,0.19409489703178406,0.19704672694206238
47,0.19965298807621001,0.20485301315784454
48,0.19756131879488628,0.18679708242416382
49,0.20266140985488892,0.19063571095466614
50,0.20046184905370076,0.20725221931934357
51,0.19761911074320476,0.20198647677898407
52,0.19659366639455159,0.20009352266788483
53,0.1850895746946335,0.2064477503299713
54,0.18377851796150207,0.2081749141216278
55,0.18540589872996013,0.18658335506916046
56,0.186947880923748,0.22061628103256226
57,0.1858196297486623,0.1846287101507187
58,0.1780955367088318,0.20175345242023468
59,0.18477285146713257,0.20634342730045319
60,0.18536152597268424,0.19175180792808533
61,0.1886717735727628,0.19879557192325592
62,0.18729346307118733,0.1896805316209793
63,0.18501063434282938,0.19342227280139923
64,0.18608876979351044,0.19474810361862183
65,0.17794577451546986,0.20435039699077606
66,0.1733025875488917,0.1922565996646881
67,0.18043555200099945,0.19917449355125427
68,0.18191646019617716,0.1959667056798935
