cluster_id,n_stations,n_train,n_val,n_test,train_R2,train_RMSE,train_Bias,train_Bias_P90,train_RMSE_P90,val_R2,val_RMSE,val_Bias,val_Bias_P90,val_RMSE_P90,test_R2,test_RMSE,test_Bias,test_Bias_P90,test_RMSE_P90
1,5,1500,3150,1786,0.6111664772033691,2.1517858505249023,0.41797614097595215,-0.44859084486961365,3.4384844303131104,0.5842751264572144,2.4293715953826904,0.399991512298584,-1.3127250671386719,4.426545143127441,0.5951763391494751,2.5410571098327637,0.3162063658237457,-2.040942430496216,4.611697196960449
2,8,2611,4919,2288,0.5350019335746765,1.9736920595169067,0.5098276138305664,-1.3288748264312744,3.4491100311279297,0.3952820301055908,2.386808395385742,0.3125282824039459,-2.386326313018799,4.858195781707764,0.3476659655570984,2.678518772125244,0.38982728123664856,-2.9211618900299072,5.17329740524292
3,3,844,1649,844,0.7538553476333618,2.1341958045959473,0.13895045220851898,0.28470495343208313,3.92000150680542,0.5482692718505859,2.50677490234375,0.6850607991218567,-0.10446156561374664,4.46971321105957,0.3686349391937256,2.944582462310791,1.3629999160766602,1.43917715549469,5.419404029846191
4,10,3414,6509,3406,0.5287491679191589,2.0519864559173584,0.3028031289577484,-1.8808796405792236,3.5755600929260254,0.4459390640258789,2.312316656112671,0.31740808486938477,-1.963386058807373,4.158315181732178,0.46428054571151733,2.495380163192749,0.22314557433128357,-2.7910187244415283,5.034595966339111
5,3,1015,1647,1009,0.24656140804290771,2.4699363708496094,0.8741694688796997,-1.7998661994934082,3.7922422885894775,-0.03850197792053223,3.3842220306396484,-0.15747100114822388,-4.849978446960449,6.114470481872559,0.2778693437576294,2.5041027069091797,-0.4900857210159302,-4.181029319763184,5.516150951385498
6,1,346,703,365,0.42685478925704956,2.17181134223938,-0.01251350250095129,-2.2014529705047607,3.869478702545166,-0.6223750114440918,4.379133701324463,2.0460598468780518,-0.3817747235298157,4.464930534362793,-0.04532897472381592,3.535555124282837,-0.9210145473480225,-5.4542717933654785,7.4794921875
