cluster_id,n_stations,Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,R2_deploy_mean,R2_deploy_std,R2_deploy_min,season
1,6,LinearSVR,0.4530051970585543,0.4644539254922125,2.8268018516756013,0.4832050800323486,0.3617,0.1613,-0.0072,
1,6,HuberRegressor,0.4483373925449746,0.459883819212638,2.838837549183736,0.1710805892944336,0.3558,0.155,0.0066,
1,6,TweedieRegressor,0.4375806814362707,0.449352248569,2.866380772981773,0.0269381999969482,0.3455,0.1332,0.0515,
1,6,KNeighborsRegressor,0.4206786920135086,0.4328040217155514,2.9091326084771816,0.1707394123077392,0.3259,0.1614,-0.0678,
1,6,PoissonRegressor,0.4191232945853046,0.4312811791172402,2.91303529963646,0.0328807830810546,0.319,0.1481,-0.0086,
1,6,ElasticNetCV,0.4052868999346619,0.4177343834244016,2.947525151173831,0.1385688781738281,,,,
1,6,BayesianRidge,0.4026574638365223,0.4151599820352928,2.9540339881107185,0.0408291816711425,,,,
1,6,LinearRegression,0.4024855584435514,0.4149916746621748,2.9544590188200077,0.0374524593353271,,,,
1,6,TransformedTargetRegressor,0.4024855584435514,0.4149916746621748,2.9544590188200077,0.0266461372375488,,,,
1,6,LassoLarsIC,0.4024816854660749,0.4149878827470176,2.954468593931417,0.0603961944580078,,,,
1,6,Ridge,0.4024764506584899,0.4149827575051728,2.9544815358282213,0.0203273296356201,,,,
1,6,RidgeCV,0.402465803837238,0.4149723335243657,2.9545078575495305,0.0293078422546386,,,,
1,6,LassoCV,0.4011701040682254,0.413703753052844,2.957709416695931,0.1839721202850341,,,,
1,6,LassoLarsCV,0.4011262679417841,0.4136608344267235,2.957817671270528,0.123368501663208,,,,
1,6,CatBoostRegressor,0.3970483480222059,0.4096682663194155,2.9678709425315737,3.6380903720855713,,,,
1,6,SGDRegressor,0.3942029382543146,0.4068824116396895,2.9748655907216017,0.0622854232788085,,,,
1,6,HistGradientBoostingRegressor,0.3906157483497664,0.4033703024540737,2.9836603320353863,0.8441283702850342,,,,
1,6,LGBMRegressor,0.3838268844018334,0.3967235310073764,3.000234079525933,0.4660203456878662,,,,
1,6,GradientBoostingRegressor,0.379090819452214,0.3920865929985631,3.0117422932468068,12.336822032928469,,,,
1,6,XGBRegressor,0.3567508675646492,0.3702142214993427,3.0654438932769112,0.8954257965087891,,,,
1,6,ExtraTreesRegressor,0.3515490687846179,0.365121297577498,3.077813684156987,10.126517295837402,,,,
1,6,MLPRegressor,0.3455682910187023,0.3592656988811016,3.091974716986423,6.924916982650757,,,,
1,6,RandomForestRegressor,0.342726225261286,0.3564831182209336,3.0986813567431577,29.53534841537476,,,,
1,6,BaggingRegressor,0.3142787748501809,0.328631079562619,3.1650280499468333,2.957159280776977,,,,
1,6,ElasticNet,0.309681757067725,0.3241302784314238,3.175619370526225,0.0198256969451904,,,,
1,6,OrthogonalMatchingPursuitCV,0.3029986653191353,0.3175870653473395,3.190954208615588,0.04111909866333,,,,
1,6,OrthogonalMatchingPursuit,0.2871153373495559,0.3020361791259607,3.227107277145659,0.0190310478210449,,,,
1,6,LarsCV,0.2637125407337861,0.2791232084858697,3.2796497733104264,0.117244005203247,,,,
1,6,RANSACRegressor,0.2062230168537475,0.2228369537102971,3.4052814916463827,0.1658358573913574,,,,
1,6,PassiveAggressiveRegressor,0.2043144847272632,0.2209683676050647,3.409372809108969,0.0315940380096435,,,,
1,6,Lasso,0.1296570928870035,0.1478735723382058,3.565734181755788,0.0261383056640625,,,,
1,6,LassoLars,0.1296538148460869,0.147870362907448,3.565740896701957,0.0213236808776855,,,,
1,6,AdaBoostRegressor,0.0659680734744834,0.0855175789133896,3.693895692267832,2.803250312805176,,,,
1,6,DecisionTreeRegressor,-0.0370861328565901,-0.01537967891308,3.8923436869107455,0.5070922374725342,,,,
